pair,avg_holding,sl_trigger_rate,cost_drag_ann,total_trades,strategy,sharpe_net
GBPUSD,2.8909535452322737,0.9693053311793215,0.0092718901453958,838,Momentum,0.026
USDCLP,2.832764505119454,1.3327948303715669,0.010004684975767368,868,Momentum,0.026
USDCNY,2.896449704142012,1.494949494949495,0.009102545454545455,845,Momentum,0.026
USDHKD,2.8654314968308143,0.8481421647819063,0.009556865912762521,846,Momentum,0.026
USDMXN,2.8485143692157817,1.1702986279257466,0.009701694915254239,853,Momentum,0.026
USDPKR,2.8838804507594316,0.9289176090468497,0.009434733441033927,850,Momentum,0.026
USDTRY,2.93836291913215,0.8885298869143781,0.00870193861066236,827,Momentum,0.026
USDZAR,2.8323615160349855,1.050080775444265,0.009862197092084008,854,Momentum,0.026
GBPUSD,1.9935344827586208,0.24232633279483037,0.004152504038772213,398,Mean-Reversion,0.551
USDCLP,2.0328947368421053,0.20193861066235863,0.0027683360258481424,268,Mean-Reversion,0.551
USDCNY,1.876923076923077,0.0404040404040404,0.001445818181818182,141,Mean-Reversion,0.551
USDHKD,,0.0,0.0,0,Mean-Reversion,0.551
USDMXN,2.040909090909091,0.24213075060532688,0.004027118644067797,385,Mean-Reversion,0.551
USDPKR,1.7210300429184548,0.12116316639741519,0.002809046849757674,274,Mean-Reversion,0.551
USDTRY,2.0635593220338984,0.16155088852988692,0.0021780290791599353,204,Mean-Reversion,0.551
USDZAR,1.9081885856079404,0.12116316639741519,0.004050726978998384,388,Mean-Reversion,0.551
GBPUSD,,0.0,0.0,0,TSMOM,-0.022
USDCLP,,0.0,0.0,0,TSMOM,-0.022
USDCNY,2.8690026954177896,1.9393939393939394,0.008634181818181819,787,TSMOM,-0.022
USDHKD,,0.0,0.0,0,TSMOM,-0.022
USDMXN,2.8090425531914893,1.331719128329298,0.009396610169491526,803,TSMOM,-0.022
USDPKR,2.8324468085106385,0.6058158319870759,0.009332956381260096,798,TSMOM,-0.022
USDTRY,2.948759439050701,0.6058158319870759,0.007969143780290793,757,TSMOM,-0.022
USDZAR,2.766913319238901,1.2520193861066236,0.009801130856219708,809,TSMOM,-0.022
GBPUSD,,0.0,0.0,0,Carry Trade,0.535
USDCLP,,0.0,0.0,0,Carry Trade,0.535
USDCNY,,0.0,0.0,0,Carry Trade,0.535
USDHKD,,0.0,0.0,0,Carry Trade,0.535
USDMXN,2.882295242766062,1.8159806295399514,0.009335593220338985,859,Carry Trade,0.535
USDPKR,2.8979187314172448,0.7673667205169629,0.009149757673667205,833,Carry Trade,0.535
USDTRY,2.962474645030426,0.8885298869143781,0.008315185783521811,811,Carry Trade,0.535
USDZAR,2.896078431372549,1.1308562197092082,0.009231179321486269,843,Carry Trade,0.535
